0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:55 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:55 +0530] "GET /onlineCounselling/jqueryBootstrap/adminPanelScript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:55 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:55 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:55 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:12:50:56 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:10 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:55 +0530] "GET /onlineCounselling/adminPanel.jsp HTTP/1.1" 200 20270
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:55 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.js.map HTTP/1.1" 404 1136
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:55 +0530] "GET /onlineCounselling/jqueryBootstrap/popper.min.js.map HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:55 +0530] "GET /onlineCounselling/jqueryBootstrap/bootstrap.min.css.map HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [26/May/2019:12:51:55 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/May/2019:12:52:06 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [26/May/2019:12:53:00 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/May/2019:12:54:53 +0530] "POST /onlineCounselling/addCountry HTTP/1.1" 200 305
